Title,Year,Rating,Vote Count,Language
Raise the Red Lantern,1991,7.926,768,zh
Gone with the Wind,1939,7.9,4234,en
The Cabinet of Dr. Caligari,1920,7.9,1708,de
Heat,1995,7.924,7939,en
Ghost in the Shell,1995,7.924,3687,ja
Raiders of the Lost Ark,1981,7.923,13211,en
Freedom Writers,2007,7.922,2358,en
"Batman: The Dark Knight Returns, Part 2",2013,7.921,1557,en
Children of Heaven,1997,7.9,680,fa
Ivan Vasilyevich Changes His Profession,1973,7.9,382,ru
Castaway on the Moon,2009,7.92,713,ko
Raging Bull,1980,7.9,4579,en
The Cranes Are Flying,1957,7.9,426,ru
Tokyo Godfathers,2003,7.9,1416,ja
Throne of Blood,1957,7.9,939,ja
Dallas Buyers Club,2013,7.918,8823,en
One Week,1920,7.9,302,xx
The Third Man,1949,7.9,2013,en
Chinatown,1974,7.915,4090,en
Amélie,2001,7.913,12042,fr
La Strada,1954,7.912,1126,it
Diabolique,1955,7.9,1049,fr
Inside Out,2015,7.91,22964,en
About Time,2013,7.9,8971,en
Death Note Relight 1: Visions of a God,2009,7.909,373,ja
Dersu Uzala,1975,7.909,591,ru
Yi Yi,2000,7.9,620,zh
La Maison en Petits Cubes,2008,7.9,446,ja
Three Colors: Red,1994,7.908,1498,fr
Unforgiven,1992,7.908,4739,en
In This Corner of the World,2016,7.907,606,ja
CODA,2021,7.9,2432,en
Guardians of the Galaxy,2014,7.905,29068,en
Dragon Ball Super: Broly,2018,7.9,3043,ja
Return of the Jedi,1983,7.904,16469,en
Mulan,1998,7.903,10174,en
Titanic,1997,7.903,26522,en
What Ever Happened to Baby Jane?,1962,7.902,1113,en
A Street Cat Named Bob,2016,7.901,1510,en
A Trip to the Moon,1902,7.901,1911,fr
Limelight,1952,7.9,566,en
Army of Shadows,1969,7.9,705,fr
Suzume,2022,7.899,1599,ja
Nobody,2021,7.899,7912,en
Faust,1926,7.9,377,de
V for Vendetta,2006,7.899,15154,en
Harry Potter and the Philosopher's Stone,2001,7.899,28873,en
La La Land,2016,7.9,17657,en
Coraline,2009,7.897,8671,en
Rebecca,1940,7.897,1894,en
In the Name of the Father,1993,7.896,1870,en
Amarcord,1973,7.895,1169,it
Regular Show: The Movie,2015,7.9,409,en
Where Is The Friend's House?,1987,7.894,410,fa
Forgotten,2017,7.893,1253,ko
Dangal,2016,7.893,1084,hi
A Separation,2011,7.9,1880,fa
Simone: Woman of the Century,2022,7.892,369,fr
The Notebook,2004,7.892,12190,en
My Father's Violin,2022,7.9,338,tr
"No manches, Frida 2: paraíso destruido",2019,7.891,930,es
The Miracle Worker,1962,7.9,325,en
Captain Fantastic,2016,7.89,6655,en
Ben-Hur,1959,7.89,2986,en
Dragon Ball Super: Super Hero,2022,7.9,2950,ja
Gone Girl,2014,7.889,19457,en
Cries and Whispers,1972,7.889,748,sv
The Pursuit of Happyness,2006,7.889,10306,en
Ne Zha,2019,7.88,736,zh
I'm No Longer Here,2019,7.888,512,es
The Boy Who Harnessed the Wind,2019,7.888,1794,en
My Way,2011,7.9,425,ko
Winter Light,1963,7.888,483,sv
Roman Holiday,1953,7.9,2176,en
An Egg Rescue,2021,7.9,415,es
The Witch: Part 1. The Subversion,2018,7.886,684,ko
Persepolis,2007,7.885,2054,fr
Justice League: The Flashpoint Paradox,2013,7.9,1927,en
The Battle of Algiers,1966,7.9,841,it
My Hero Academia: Two Heroes,2018,7.882,1071,ja
Where Hands Touch,2018,7.882,529,en
Divorce Italian Style,1961,7.9,507,it
Teen Titans: Trouble in Tokyo,2006,7.9,440,en
"Remi, Nobody's Boy",2018,7.881,449,fr
El Infierno,2010,7.88,732,es
On the Waterfront,1954,7.88,1691,en
Mary and Max,2009,7.879,2151,en
A Whisker Away,2020,7.878,1454,ja
Miracle in Cell No. 7,2013,7.9,473,ko
A Bronx Tale,1993,7.875,2704,en
Kill Bill: Vol. 2,2004,7.875,14609,en
Ron's Gone Wrong,2021,7.871,1956,en
The Night of the Hunter,1955,7.9,1738,en
Umberto D.,1952,7.9,718,it
Bad Genius,2017,7.9,821,th
Dogman,2023,7.871,1283,fr
The Greatest Showman,2017,7.871,9813,en
Mamma Roma,1962,7.87,424,it
The Avengers,2012,7.871,34341,en
La Jetée,1962,7.87,957,fr
Young Woman and the Sea,2024,7.867,391,en
Wild Tales,2014,7.867,3600,es
Nimona,2023,7.865,1280,en
Wish Dragon,2021,7.86,1422,en
Grand Illusion,1937,7.9,748,fr
Young Frankenstein,1974,7.862,3290,en
Thirteen Lives,2022,7.861,1407,en
The Mitchells vs. the Machines,2021,7.9,3182,en
Little Women,2019,7.86,6610,en
Let Go,2024,7.863,353,sv
Sword Art Online the Movie – Progressive – Aria of a Starless Night,2021,7.859,313,ja
Sing Street,2016,7.859,2391,en
Paper Moon,1973,7.9,779,en
Predator: Killer of Killers,2025,7.858,983,en
Dancer in the Dark,2000,7.858,1914,en
Ace in the Hole,1951,7.857,710,en
Downfall,2004,7.857,4121,de
Vincent,1982,7.9,893,en
Just Mercy,2019,7.855,2410,en
Perfect Strangers,2016,7.9,4527,it
A Beautiful Mind,2001,7.855,10730,en
Werckmeister Harmonies,2001,7.9,353,hu
How to Train Your Dragon,2010,7.854,13914,en
Forgotten Love,2023,7.852,328,pl
Fargo,1996,7.85,8706,en
Stand by Me,1986,7.8,6236,en
Indiana Jones and the Last Crusade,1989,7.849,10718,en
An Autumn Afternoon,1962,7.8,309,ja
Mr. Smith Goes to Washington,1939,7.848,1135,en
"Monsters, Inc.",2001,7.847,19270,en
Redeeming Love,2022,7.8,670,en
Shoplifters,2018,7.846,2197,ja
Pather Panchali,1955,7.8,465,bn
"The Gangster, the Cop, the Devil",2019,7.845,1370,ko
Her,2013,7.845,14890,en
Warrior,2011,7.8,4842,en
Dog Day Afternoon,1975,7.845,3192,en
Knives Out,2019,7.8,13285,en
Isle of Dogs,2018,7.844,5200,en
Departures,2008,7.8,880,ja
The Virgin Spring,1960,7.843,651,sv
Always,2011,7.842,301,ko
Sherlock: The Abominable Bride,2016,7.841,2302,en
The Wizards Return: Alex vs. Alex,2013,7.843,1059,en
The Big Lebowski,1998,7.841,11800,en
Anatomy of a Murder,1959,7.8,1099,en
We Bare Bears: The Movie,2020,7.839,836,en
Dances with Wolves,1990,7.839,4514,en
Sing 2,2021,7.837,4662,en
Feast,2014,7.838,879,en
The Theory of Everything,2014,7.838,10896,en
Lisbela and the Prisoner,2003,7.838,398,pt
See You Up There,2017,7.8,1328,fr
Scooby-Doo! Camp Scare,2010,7.836,320,en
Millennium Actress,2002,7.8,959,ja
The Cameraman,1928,7.835,413,en
The Nightmare Before Christmas,1993,7.835,10033,en
Kagemusha,1980,7.834,706,ja
Ratatouille,2007,7.834,17958,en
War Room,2015,7.8,563,en
Mishima: A Life in Four Chapters,1985,7.8,330,ja
Kiki's Delivery Service,1989,7.83,4383,ja
The Breadwinner,2017,7.829,888,en
Carlito's Way,1993,7.828,3344,en
A Fistful of Dollars,1964,7.828,4534,it
Argentina 1985,2022,7.827,711,es
The Shadow in My Eye,2021,7.827,532,da
Elite Squad: The Enemy Within,2010,7.827,1969,pt
Papillon,1973,7.827,2037,en
The Marquis of Grillo,1981,7.8,488,it
It Happened One Night,1934,7.8,1343,en
